unitid,year,f1b01,f1b02,f1b03,f1c011,f1d01,f2e011,f2b01,f2b04
149222,2017,134647236,20868451,10643619,255719099,776419716,,,
149231,2017,111355731,20267643,3779832,170677694,388950130,,,
149240,2017,0,0,0,0,6950761,,,
149365,2017,1873022,0,0,21783974,48698195,,,
149532,2017,17380252,0,0,37801105,88407983,,,
149587,2017,0,3433795,854660,13559258,239368769,,,
149727,2017,18430224,0,0,39420777,114159760,,,
149772,2017,67567759,6048189,3120791,125827367,293213224,,,
149842,2017,40574390,1679208,21783,72456169,180442137,,,
150136,2017,168326991,4654999,2432258,215990263,505180104,,,
150987,2017,130557584,2756738,13532770,239343208,581588735,,,
151102,2017,51994049,1989151,423546,56413551,152819812,,,
151111,2017,321267183,197479993,13574966,465405590,1341246928,,,
151306,2017,45818686,224694,883530,59622543,166508862,,,
151324,2017,70490000,4792000,240000,90331000,258527000,,,
151333,2017,16260004,224047,4936,17097398,39338085,,,
151342,2017,30738760,628877,68849,38135090,79668998,,,
151351,2017,742668977,119618090,2743025,628105115,1627310047,,,
151360,2017,22533638,519222,2000,27498385,54447223,,,
151379,2017,27007307,187666,0,33855111,66024809,,,
151388,2017,20318306,1396175,758831,18055316,42828056,,,
152637,2017,28107839,5382493,1918868,55767905,141282957,,,
153214,2017,38210600,6340155,9652203,87313893,163801677,,,
153296,2017,2715220,2125669,86342,4008616,17068218,,,
153311,2017,13397213,4334062,5908887,22885511,79491729,,,
153445,2017,11903843,8938246,1314290,35152577,60166690,,,
153472,2017,15072941,5391530,0,30003758,61608119,,,
153524,2017,16153199,2037442,870089,25398651,70606192,,,
153533,2017,5486422,1920541,1908542,12149102,38269200,,,
153603,2017,352373920,163703194,18410825,330078899,1300956708,,,
153630,2017,16796485,1947687,371188,24168679,68028081,,,
153658,2017,405345000,272869000,19506000,407672000,3486782000,,,
153737,2017,26896850,673514,0,61867707,152086309,,,
153922,2017,4430096,3468197,140875,6540373,27848145,,,
154059,2017,9429754,2357616,0,19268081,45064430,,,
154095,2017,66908025,13493398,2280696,103108086,302104486,,,
154110,2017,8998952,4068807,0,29802457,55989469,,,
154129,2017,4313483,874786,580307,7173679,23157256,,,
