unitid,year,scugffn,npgrn2,agrnt_a,loan_a,agrnt_p
127556,2017,1906,,6092,9434,75
127565,2017,1914,,5936,5432,54
127617,2017,94,,6364,5871,57
127653,2017,29,24823,23255,6496,83
127680,2017,0,,,,
127714,2017,2,20055,5815,10585,50
127732,2017,429,,5199,4677,84
127741,2017,2145,,7708,5926,84
127778,2017,232,,6448,5136,95
127787,2017,17,20041,5394,7439,94
127820,2017,1052,,6881,3658,58
127839,2017,93,18880,3719,7755,90
127884,2017,266,,5304,4583,85
127909,2017,521,,5144,4498,46
127918,2017,486,25615,21367,6447,97
127945,2017,44,22349,4773,9615,95
127954,2017,6,13315,2879,5381,50
128106,2017,816,,6950,6607,90
128151,2017,124,,4634,,34
128179,2017,454,17016,4810,6963,47
128188,2017,582,18132,5850,8876,75
128258,2017,240,,6905,5561,86
128337,2017,34,12387,5080,11850,82
128391,2017,464,,6195,6015,82
128498,2017,129,24177,21245,6697,94
128540,2017,34,12015,4677,8383,53
128577,2017,222,,4908,4999,65
128586,2017,14,20243,4531,,93
128674,2017,415,15788,3945,5169,78
128683,2017,63,25228,7905,6469,100
128744,2017,482,22981,26796,7783,98
128771,2017,1258,,7567,6929,61
128780,2017,1,,3702,10500,100
128896,2017,41,20844,3979,8314,68
128902,2017,472,27397,39603,7824,59
129002,2017,64,23645,5077,9362,83
129020,2017,3808,,13630,7382,62
129154,2017,61,20058,11692,8173,95
129181,2017,628,23650,4424,8668,66
129215,2017,995,,6663,7483,75
129242,2017,1056,37799,24180,9274,91
129349,2017,45,20406,3782,8208,42
129367,2017,201,,5650,3043,90
129482,2017,140,13212,4283,9150,95
129525,2017,1296,30789,21526,10559,99
129534,2017,1,11835,5815,,100
129543,2017,685,,7773,4124,79
129695,2017,579,,5200,3829,60
129729,2017,819,,5342,4348,70
129756,2017,328,,4944,4056,65
129774,2017,119,25166,19720,7962,100
129808,2017,459,,4939,3457,63
129923,2017,441,18493,4408,7923,74
129932,2017,798,14953,3948,6267,77
129941,2017,1117,33665,19907,12264,98
129969,2017,91,17673,4949,6034,86
130004,2017,607,,4957,4244,69
130040,2017,165,,5029,3330,62
130110,2017,7,17397,3428,10037,57
130174,2017,232,20601,7499,11244,86
130183,2017,422,18220,10434,8131,91
130217,2017,183,,4808,,71
130226,2017,1904,38665,22460,12041,95
130253,2017,1322,40177,15472,10810,97
130314,2017,125,25226,21536,7527,98
130396,2017,639,,5189,3621,73
130448,2017,8,18175,7145,10408,63
130493,2017,1402,,6603,11709,53
130509,2017,163,12724,4264,7130,80
130590,2017,572,28594,40346,6520,59
130606,2017,479,,4883,4464,65
130624,2017,298,,,,0
130697,2017,774,24251,43276,5744,40
130776,2017,824,,5994,6993,69
130794,2017,1367,18053,50897,4962,51
130837,2017,0,,,,
130873,2017,325,17618,5416,7791,74
130907,2017,2092,,3948,3403,84
130934,2017,941,,9717,6616,92
130943,2017,4370,,8798,9547,74
130989,2017,158,15807,20617,6523,100
131061,2017,24,10156,5525,5918,67
131098,2017,353,23823,16410,7771,95
131113,2017,285,14955,2449,3370,55
131159,2017,1677,32732,29412,8375,63
131283,2017,723,35214,24577,8822,94
131399,2017,240,,8856,5294,69
131450,2017,245,15270,20948,5526,80
131469,2017,2517,37638,29429,7247,75
131496,2017,1573,27420,41893,6358,42
131520,2017,900,21061,20427,7800,77
131803,2017,9,22511,5233,9401,56
131830,2017,2,9333,6015,3958,50
131876,2017,222,16948,14916,5618,100
132268,2017,70,23443,12625,9737,97
132338,2017,113,22732,6156,8024,96
132374,2017,2697,,2850,,18
132408,2017,32,8183,9052,4472,97
132471,2017,479,21547,22331,6115,99
132602,2017,1167,17313,10122,7041,96
132657,2017,559,38986,14306,8308,92
132675,2017,103,,1215,,92
132693,2017,1495,,4583,4860,61
132709,2017,3676,,4849,3405,74
132842,2017,7,33833,8902,8117,100
132851,2017,877,,4387,3690,77
132879,2017,35,15671,6980,6807,100
132903,2017,6170,,5757,6303,75
132976,2017,215,,7173,,33
133021,2017,355,,5664,,75
133155,2017,21,,3244,,24
133386,2017,383,,5226,4038,66
133465,2017,18,21674,6807,6567,83
133492,2017,573,33918,23182,8065,98
133508,2017,1661,,5462,3517,62
133526,2017,234,13351,11620,5667,90
