Religious affiliation,Offers Master's degree,Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,State abbreviation,Sector of institution,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total enrollment,Undergraduate enrollment,Percent of total enrollment that are White,Percent of total enrollment that are Nonresident Alien,Percent of total enrollment that are women,"Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid,Percent of freshmen receiving student loan aid,Offers Non-Degree,Offers Doctor's degree,Bachelor's degrees awarded Ratio,Master's degrees awarded Ratio,Non-degree awarded Ratio,Doctor's degree awarded Ratio,Average Tuition and Fees,Full-time Enrollment Ratio,Percent of total enrollment that are Minor
Presbyterian Church (USA),FALSE,-0.018854071170724147,-0.39778084182055906,Arkansas,"Private not-for-profit, 4-year or above",Town: Remote,Baccalaureate Colleges--Arts & Sciences,-0.6881362489444556,-0.6824378279166338,0.764714587905397,-0.2513322749008039,-0.3309919864228065,-0.14583167366205702,0.5913060643451237,0.27497059262745194,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,0.28216318643492627,0.9979576195813354,-0.6999795535870569
Not applicable,TRUE,-0.9364851361119091,-0.46327920483812024,Arkansas,"Public, 4-year or above",City: Small,Research Universities (very high research activity),1.9349251977755482,2.131364343675992,0.7198092096268217,0.08307982475903945,-0.6705958304282816,0.3788312734686601,-0.7412724048185653,-1.2998651532882954,TRUE,TRUE,-0.01318550358203333,0.19168368727220253,-0.45331822540238015,0.6712213713802458,-1.049296150100776,0.1705718496138594,-0.8371731611512663
Not applicable,TRUE,-1.3460458107172109,-1.5026599334229178,Arkansas,"Public, 4-year or above",City: Small,Baccalaureate Colleges--Diverse Fields,-0.47372543207449846,-0.4165895451619599,-2.468472648152025,-0.5857443745606473,-0.3309919864228065,-1.405022746775778,0.13366923784836218,0.3563180264433478,TRUE,TRUE,1.0004095452881374,-0.6581963731424919,-0.506786263499543,-0.4566037509512404,-1.2033152772692755,0.6611749603092487,2.638398230475371
Not applicable,TRUE,-1.1053808889791612,-1.2122138396919833,Arkansas,"Public, 4-year or above",City: Small,Master's Colleges and Universities (larger programs),0.6854496070291697,0.6276470740356366,0.6299984530696712,0.2502858745889611,0.17841377958540636,-0.880359799645061,0.43966294527419814,-0.7738223681564333,TRUE,TRUE,-1.1738390471976194,1.151276522356137,0.47549586985053177,-0.25120311325207867,-1.0718072975850361,-0.8871473644243381,-0.6999795535870569
Not applicable,TRUE,-1.4072109696263706,-1.6668832342832753,Arkansas,"Public, 4-year or above",Town: Remote,Master's Colleges and Universities (larger programs),0.4540809400854641,0.6805686606493196,0.8545253444625477,-0.2513322749008039,-0.16119006442006886,-0.6180283260797024,0.20605057265142196,-0.9141214265069096,TRUE,FALSE,-0.915177544591407,-0.47153084687010205,1.9962587233085116,-0.4566037509512404,-1.2327298433153753,-0.7620273697057036,-0.7914419586298631
Not applicable,TRUE,-1.3810083073298587,-1.536841294881062,Arkansas,"Public, 4-year or above",Town: Remote,Master's Colleges and Universities (smaller programs),-0.3382746046104326,-0.2532768364712971,0.18094467028391803,-0.7529504243905689,0.09351281858403755,-1.6148879256280648,0.21067363855174584,-0.4168647639598128,TRUE,FALSE,-1.7716143889212272,-0.6945091405839579,3.456695850865655,-0.4566037509512404,-1.2139705537451584,-0.6856773818575546,-0.01401151576601008
Not applicable,TRUE,-1.2143409333675885,-1.334712964694215,Arkansas,"Public, 4-year or above",City: Small,Master's Colleges and Universities (larger programs),0.47156872297401725,0.5802381526942121,0.3605661833982193,-0.08412622507088223,0.2633147405867752,-0.5655620313666307,0.2822990553824673,-0.6680829736841272,TRUE,TRUE,0.05577819276836044,0.29716373440988536,-0.40650723796027277,-0.008983264467588322,-1.055620710584449,0.05662526272077358,-0.37986113593723503
Baptist,FALSE,-0.8587223963932288,-1.4413626315901564,Arkansas,"Private not-for-profit, 4-year or above",City: Small,Baccalaureate Colleges--Diverse Fields,-0.6632294066486375,-0.6500509194421141,0.5401876965125205,-0.2513322749008039,-0.7554967914296504,-0.7754272102189176,0.5142549660063835,0.1128216809273123,TRUE,FALSE,0.8152811249441919,-1.1206598855429244,0.2703761844298015,-0.4566037509512404,-0.6433236846132059,0.0667167696975905,-0.4713235409800413
Churches of Christ,TRUE,-0.5966957734281108,-1.1157803897681686,Arkansas,"Private not-for-profit, 4-year or above",Town: Distant,Master's Colleges and Universities (larger programs),-0.08973611446705677,-0.15377322830702833,1.0341468575768489,0.2502858745889611,-0.07628910341870006,0.4837638628948035,0.6781934731100868,-0.32762536291065736,TRUE,TRUE,-0.1050512615853042,0.4117286100576064,-0.4463609535528835,0.35420134367544726,-0.3901268733854807,-0.009046785446195893,-1.1572915788010882
Not applicable,TRUE,-1.1883687930267646,-1.2666366777677993,Arkansas,"Public, 4-year or above",Town: Distant,Master's Colleges and Universities (medium programs),-0.3711304391283203,-0.3231498687971756,0.31566080511964395,-0.5857443745606473,-0.07628910341870006,-1.247623862636563,0.28465825883538887,-0.49100557947792395,TRUE,FALSE,-0.3559909605913081,-0.1603861823154994,0.8582833649351383,-0.4566037509512404,-1.0643893385092704,0.28446850542730995,-0.15120512333021946
